釜山行2：半岛,[' 动作 ', ' 惊悚 '],['2020-07-15韩国上映']
第一次的离别,[' 剧情 ', ' 家庭 '],['2020-07-20中国大陆上映']
大话西游之大圣娶亲,[' 喜剧 ', ' 爱情 ', ' 奇幻 ', ' 古装 '],['2020-07-24中国大陆重映']
唐人街探案2,[' 喜剧 ', ' 动作 ', ' 悬疑 '],['2018-02-16中国大陆上映']
误杀,[' 剧情 ', ' 犯罪 '],['2020-07-20中国大陆重映']
天气之子,[' 爱情 ', ' 动画 ', ' 奇幻 '],['2019-11-01中国大陆上映']
战狼2,[' 动作 ', ' 战争 '],['2020-07-20中国大陆重映']
喋血战士,[' 动作 ', ' 科幻 '],['2020-07-24中国大陆上映']
风声,[' 惊悚 ', ' 剧情 ', ' 犯罪 '],['2020-07-20中国大陆重映']
我在世界城等你,[' 短片 '],['2016-05-16中国大陆上映']
少年的你,[' 爱情 ', ' 青春 ', ' 剧情 '],['2019-10-25中国大陆上映']
寻梦环游记,[' 动画 ', ' 冒险 ', ' 家庭 '],['2020-07-20中国大陆重映']
釜山行,[' 动作 ', ' 惊悚 ', ' 灾难 '],['2016-07-20韩国上映']
多力特的奇幻冒险,[' 剧情 ', ' 奇幻 ', ' 冒险 '],['2020-07-24中国大陆上映']
哥斯拉2：怪兽之王,[' 科幻 ', ' 灾难 ', ' 动作 '],['2019-05-31中国大陆上映']
疯狂的外星人,[' 剧情 ', ' 喜剧 ', ' 科幻 '],['2019-02-05中国大陆上映']
纽约唐人街碎尸案,[' 剧情 '],['1961中国香港上映']
南方车站的聚会,[' 剧情 ', ' 犯罪 '],['2019-12-06中国大陆上映']
复仇者联盟4：终局之战,[' 动作 ', ' 冒险 ', ' 奇幻 '],['2019-04-24中国大陆上映']
毒液2,[' 动作 ', ' 科幻 ', ' 惊悚 ', ' 恐怖 '],['2020-06-25美国上映']
泰坦尼克号3D,[' 爱情 ', ' 灾难 ', ' 剧情 '],['2012-04-10中国大陆上映']
两只老虎,[' 剧情 ', ' 喜剧 '],['2019-11-29中国大陆上映']
冰雪奇缘2,[' 喜剧 ', ' 动画 ', ' 冒险 '],['2019-11-22中国大陆上映']
恐怖电影院2,[' 恐怖 ', ' 惊悚 '],['2017-10-20中国大陆上映']
泰坦尼克号,[' 剧情 ', ' 爱情 ', ' 灾难 '],['1998-04-03中国大陆上映']
我是大哥大 电影版,[' 喜剧 '],['2020-07-17日本上映']
何以为家,[' 剧情 '],['2020-07-24中国大陆重映']
流浪地球,[' 剧情 ', ' 冒险 ', ' 科幻 '],['2019-02-05中国大陆上映']
当幸福来敲门,[' 剧情 ', ' 家庭 ', ' 传记 '],['2020-07-20中国大陆重映']
大鱼海棠,[' 剧情 ', ' 动画 ', ' 奇幻 '],['2020-07-20中国大陆重映']
釜山行2：半岛,[' 动作 '| ' 惊悚 '],['2020-07-15韩国上映']
大话西游之大圣娶亲,[' 喜剧 '| ' 爱情 '| ' 奇幻 '| ' 古装 '],['2020-07-24中国大陆重映']
唐人街探案2,[' 喜剧 '| ' 动作 '| ' 悬疑 '],['2018-02-16中国大陆上映']
误杀,[' 剧情 '| ' 犯罪 '],['2020-07-20中国大陆重映']
天气之子,[' 爱情 '| ' 动画 '| ' 奇幻 '],['2019-11-01中国大陆上映']
寻梦环游记,[' 动画 '| ' 冒险 '| ' 家庭 '],['2020-07-20中国大陆重映']
釜山行,[' 动作 '| ' 惊悚 '| ' 灾难 '],['2016-07-20韩国上映']
多力特的奇幻冒险,[' 剧情 '| ' 奇幻 '| ' 冒险 '],['2020-07-24中国大陆上映']
第一次的离别,[' 剧情 '| ' 家庭 '],['2020-07-20中国大陆上映']
大鱼海棠,[' 剧情 '| ' 动画 '| ' 奇幻 '],['2020-07-20中国大陆重映']
战狼2,[' 动作 '| ' 战争 '],['2020-07-20中国大陆重映']
喋血战士,[' 动作 '| ' 科幻 '],['2020-07-24中国大陆上映']
风声,[' 惊悚 '| ' 剧情 '| ' 犯罪 '],['2020-07-20中国大陆重映']
我在世界城等你,[' 短片 '],['2016-05-16中国大陆上映']
少年的你,[' 爱情 '| ' 青春 '| ' 剧情 '],['2019-10-25中国大陆上映']
哥斯拉2：怪兽之王,[' 科幻 '| ' 灾难 '| ' 动作 '],['2019-05-31中国大陆上映']
疯狂的外星人,[' 剧情 '| ' 喜剧 '| ' 科幻 '],['2019-02-05中国大陆上映']
纽约唐人街碎尸案,[' 剧情 '],['1961中国香港上映']
南方车站的聚会,[' 剧情 '| ' 犯罪 '],['2019-12-06中国大陆上映']
毒液2,[' 动作 '| ' 科幻 '| ' 惊悚 '| ' 恐怖 '],['2020-06-25美国上映']
泰坦尼克号3D,[' 爱情 '| ' 灾难 '| ' 剧情 '],['2012-04-10中国大陆上映']
两只老虎,[' 剧情 '| ' 喜剧 '],['2019-11-29中国大陆上映']
冰雪奇缘2,[' 喜剧 '| ' 动画 '| ' 冒险 '],['2019-11-22中国大陆上映']
恐怖电影院2,[' 恐怖 '| ' 惊悚 '],['2017-10-20中国大陆上映']
泰坦尼克号,[' 剧情 '| ' 爱情 '| ' 灾难 '],['1998-04-03中国大陆上映']
我是大哥大 电影版,[' 喜剧 '],['2020-07-17日本上映']
何以为家,[' 剧情 '],['2020-07-24中国大陆重映']
流浪地球,[' 剧情 '| ' 冒险 '| ' 科幻 '],['2019-02-05中国大陆上映']
当幸福来敲门,[' 剧情 '| ' 家庭 '| ' 传记 '],['2020-07-20中国大陆重映']
复仇者联盟4：终局之战,[' 动作 '| ' 冒险 '| ' 奇幻 '],['2019-04-24中国大陆上映']
釜山行2：半岛,[' 动作 '| ' 惊悚 '],['2020-07-15韩国上映']
寻梦环游记,[' 动画 '| ' 冒险 '| ' 家庭 '],['2020-07-20中国大陆重映']
哪吒之魔童降世,[' 动画 '| ' 喜剧 '| ' 奇幻 '],['2020-07-20中国大陆重映']
哥斯拉2：怪兽之王,[' 科幻 '| ' 灾难 '| ' 动作 '],['2019-05-31中国大陆上映']
风声,[' 惊悚 '| ' 剧情 '| ' 犯罪 '],['2020-07-20中国大陆重映']
多力特的奇幻冒险,[' 剧情 '| ' 奇幻 '| ' 冒险 '],['2020-07-24中国大陆上映']
大话西游之大圣娶亲,[' 喜剧 '| ' 爱情 '| ' 奇幻 '| ' 古装 '],['2020-07-24中国大陆重映']
最美逆行,[' 剧情 '],['2020-06-28中国大陆上映']
